16310;16311;16048;16103;16244;16312;15978;15979;16100;16026;15775;15413;15612;15699;15704;15842;9133;9072;9048;8918;8694;8605;8563;8540;8634;9049;8498;8388;8370;8330;8294;8268;1099;1098;1361;1306;1165;1097;1431;1430;1309;1383;1634;1996;1797;1710;1705;1567;6228;6289;6313;6443;6667;6756;6798;6821;6727;6312;6863;6973;6991;7031;7067;7093;7094;7095;6832;6887;7028;7096;6762;6763;6884;6810;6559;6197;6396;6483;6488;6626;1965;1904;1880;1750;1526;1437;1395;1372;1466;1881;1330;1220;1202;1162;1126;1100;8267;8266;8529;8474;8333;8265;8599;8598;8477;8551;8802;9164;8965;8878;8873;8735;15444;15505;15529;15659;15883;15972;16014;16037;15943;15528;16079;16189;16207;16247;16283;16309
16308;16192;16047;15690;15676;15691;15606;15692;16101;15977;15688;15371;15613;15700;15705;15843;9134;9071;9070;8789;8788;8635;8480;8782;8973;8972;8900;8387;8376;8329;8293;8386;1101;1217;1362;1719;1733;1718;1803;1717;1308;1432;1721;2038;1796;1709;1704;1566;6227;6290;6291;6572;6573;6726;6881;6579;6388;6389;6461;6974;6985;7032;7068;6975;7092;6976;6831;6474;6460;6475;6390;6476;6885;6761;6472;6155;6397;6484;6489;6627;1966;1903;1902;1621;1620;1467;1312;1614;1805;1804;1732;1219;1208;1161;1125;1218;8269;8385;8530;8887;8901;8886;8971;8885;8476;8600;8889;9206;8964;8877;8872;8734;15443;15506;15507;15788;15789;15942;16097;15795;15604;15605;15677;16190;16201;16248;16284;16191
16307;16258;16370;16359;16224;15980;15607;15706;16102;15976;15689;15414;15614;15662;15845;15844;9135;9069;9017;8693;8692;8651;8650;8952;9168;8501;8590;8372;8371;8291;8292;8318;1102;1151;1039;1050;1185;1429;1802;1703;1307;1433;1720;1995;1795;1747;1564;1565;6226;6292;6344;6668;6669;6710;6711;6409;6193;6860;6771;6989;6990;7070;7069;7043;7091;7042;7154;7143;7008;6764;6391;6490;6886;6760;6473;6198;6398;6446;6629;6628;1967;1901;1849;1525;1524;1483;1482;1784;2000;1333;1422;1204;1203;1123;1124;1150;8270;8319;8207;8218;8353;8597;8970;8871;8475;8601;8888;9163;8963;8915;8732;8733;15442;15508;15560;15884;15885;15926;15927;15625;15409;16076;15987;16205;16206;16286;16285;16259
16305;16306;16159;16226;16225;16131;16106;15965;16027;15975;15796;15415;15416;15615;15675;15846;9211;9210;9018;8757;8624;8691;8649;8951;9155;8763;8499;8497;8383;8328;8327;8273;1104;1103;1250;1183;1184;1278;1303;1444;1382;1434;1613;1994;1993;1794;1734;1563;6150;6151;6343;6604;6737;6670;6712;6410;6206;6598;6862;6864;6978;7033;7034;7088;7089;7090;6943;7010;7009;6915;6890;6749;6811;6759;6580;6199;6200;6399;6459;6630;2043;2042;1850;1589;1456;1523;1481;1783;1987;1595;1331;1329;1215;1160;1159;1105;8272;8271;8418;8351;8352;8446;8471;8612;8550;8602;8781;9162;9161;8962;8902;8731;15366;15367;15559;15820;15953;15886;15928;15626;15422;15814;16078;16080;16194;16249;16250;16304
16260;16104;16070;16069;16022;15969;15970;15873;15971;16028;15856;15417;15588;15654;15674;15847;9136;9202;8933;8783;8755;8690;8648;8697;8762;8921;8898;8496;8380;8378;8326;8274;1149;1305;1339;1340;1387;1440;1439;1536;1438;1381;1553;1992;1821;1755;1735;1562;6225;6159;6428;6578;6606;6671;6713;6664;6599;6440;6463;6865;6981;6983;7035;7087;7044;6888;6854;6853;6806;6753;6754;6657;6755;6812;6640;6201;6372;6438;6458;6631;1968;2034;1765;1615;1587;1522;1480;1529;1594;1753;1730;1328;1212;1210;1158;1106;8317;8473;8507;8508;8555;8608;8607;8704;8606;8549;8721;9160;8989;8923;8903;8730;15441;15375;15644;15794;15822;15887;15929;15880;15815;15656;15679;16081;16197;16199;16251;16303
16254;16281;16360;16354;16200;16158;16105;15966;16029;15974;15617;15554;15616;15663;15743;15744;9137;9201;8791;8689;8647;8646;8645;8644;8643;8899;8897;8495;8384;8382;8325;8324;1155;1128;1049;1055;1209;1251;1304;1443;1380;1435;1792;1855;1793;1746;1666;1665;6224;6160;6570;6672;6714;6715;6716;6717;6718;6462;6464;6866;6977;6979;7036;7037;7038;7065;7144;7138;6984;6942;6889;6750;6813;6758;6401;6338;6400;6447;6527;6528;1969;2033;1623;1521;1479;1478;1477;1476;1475;1731;1729;1327;1216;1214;1157;1156;8323;8296;8217;8223;8377;8419;8472;8611;8548;8603;8960;9023;8961;8914;8834;8833;15440;15376;15786;15888;15930;15931;15932;15933;15934;15678;15680;16082;16193;16195;16252;16253
16255;16256;16257;16227;16107;16046;16045;15968;15967;15813;15586;15587;15701;15736;15745;15848;9138;9019;8790;8742;8699;8698;8807;8642;8740;8976;8975;8539;8447;8381;8415;8414;1154;1153;1152;1182;1302;1363;1364;1441;1442;1596;1823;1822;1708;1673;1664;1561;6223;6342;6571;6619;6662;6663;6554;6719;6621;6385;6386;6822;6914;6980;6946;6947;7039;7040;7041;7011;6891;6830;6829;6752;6751;6597;6370;6371;6485;6520;6529;6632;1970;1851;1622;1574;1531;1530;1639;1474;1572;1808;1807;1371;1279;1213;1247;1246;8322;8321;8320;8350;8470;8531;8532;8609;8610;8764;8991;8990;8876;8841;8832;8729;15439;15558;15787;15835;15878;15879;15770;15935;15837;15601;15602;16038;16130;16196;16162;16163
16115;16164;16165;16208;16209;16157;16108;16031;15760;15655;15621;15719;15808;15851;15850;15849;9139;9020;8809;8810;8741;8695;8808;8637;8953;9156;8840;8209;8538;8379;8416;8463;1294;1245;1244;1201;1200;1252;1301;1378;1649;1754;1788;1690;1601;1558;1559;1560;6222;6341;6552;6551;6620;6666;6553;6724;6408;6205;6521;7152;6823;6982;6945;6898;6899;6948;6949;6992;6993;6941;6892;6815;6544;6439;6405;6503;6592;6635;6634;6633;1971;1852;1641;1642;1573;1527;1640;1469;1785;1988;1672;1041;1370;1211;1248;1295;8462;8413;8412;8369;8368;8420;8469;8546;8817;8922;8956;8858;8769;8726;8727;8728;15438;15557;15768;15767;15836;15882;15769;15940;15624;15421;15737;16368;16039;16198;16161;16114
16071;16072;16111;16112;16166;16110;16109;15871;15812;15585;15715;15729;15852;15853;15854;15809;9140;9171;8760;8811;8812;8696;8613;8954;8974;8955;8395;8208;8394;8537;8417;8464;1338;1337;1298;1297;1243;1299;1300;1538;1597;1824;1694;1680;1557;1556;1555;1600;6221;6190;6601;6550;6549;6665;6748;6407;6387;6406;6966;7153;6967;6824;6944;6897;6855;6856;6895;6896;6950;6894;6893;6655;6596;6369;6499;6513;6636;6637;6638;6593;1972;2003;1592;1643;1644;1528;1445;1786;1806;1787;1227;1040;1226;1369;1249;1296;8506;8505;8466;8465;8411;8467;8468;8706;8765;8992;8862;8848;8725;8724;8723;8768;15437;15406;15817;15766;15765;15881;15964;15623;15603;15622;16182;16369;16183;16040;16160;16113
16042;16043;16019;16020;16044;16021;15870;15741;15912;15714;15716;15746;15747;15748;15811;15620;9141;9021;8816;8759;8813;8761;8522;8614;8896;8895;8396;8242;8199;8450;8503;8502;1367;1366;1390;1389;1365;1388;1539;1668;1497;1695;1693;1663;1662;1661;1598;1789;6220;6340;6545;6602;6548;6600;6839;6747;6465;6466;6965;7119;7162;6911;6858;6859;6826;6827;6803;6804;6828;6805;6654;6525;6696;6498;6500;6530;6531;6532;6595;6404;1973;1853;1648;1591;1645;1593;1354;1446;1728;1727;1228;1074;1031;1282;1335;1334;8535;8534;8558;8557;8533;8556;8707;8836;8665;8863;8861;8831;8830;8829;8766;8957;15436;15556;15761;15818;15764;15816;16055;15963;15681;15682;16181;16335;16378;16127;16074;16075
